key,fc_ratio,fc_weight,sc_weight,xyz_weight,anchor_top1,anchor_top5,anchor_pair_id,anchor_mean_rank,anchor_mean_xyz_dist,fc_translation_r,fc_within_r,fc_cross_r,n_human_nodes_kept,elapsed_s,score
fc0.300_sc0.700_xyz0.500,0.3,0.3,0.7,0.5,0.7380952380952381,1.0,0.7619047619047619,1.3095238095238095,0.02567826210538941,0.3601352692348126,0.4216482316125703,0.1876250185248185,1090,44.7,0.5425198476975557
fc0.300_sc0.700_xyz0.250,0.3,0.3,0.7,0.25,0.7380952380952381,1.0,0.7619047619047619,1.3571428571428572,0.027969687153425415,0.3535663387721214,0.43054368566826506,0.1775736874623503,1020,46.2,0.5419998128467527
fc0.300_sc0.700_xyz0.750,0.3,0.3,0.7,0.75,0.7380952380952381,1.0,0.8095238095238095,1.380952380952381,0.05109921840346223,0.3538699335047917,0.42753969022903077,0.18019209971879166,1150,45.4,0.5415052719153405
fc0.900_sc0.100_xyz0.750,0.9,0.9,0.09999999999999998,0.75,0.7142857142857143,1.0,0.7619047619047619,1.4523809523809523,0.03763957727436838,0.3644712603655674,0.4433114192617242,0.18912459843160895,1342,40.9,0.5376557964088649
fc0.000_sc1.000_xyz0.500,0.0,0.0,1.0,0.5,0.7380952380952381,1.0,0.7619047619047619,1.3571428571428572,0.027969687153425415,0.3442068134076228,0.4188244634249266,0.16580947332894225,910,47.1,0.5363801345205105
fc1.000_sc0.000_xyz0.750,1.0,1.0,0.0,0.75,0.7142857142857143,1.0,0.7619047619047619,1.4523809523809523,0.03763957727436838,0.36166131896266684,0.4383927023629626,0.18697648056661056,1338,40.1,0.5356885735380974
fc0.900_sc0.100_xyz1.000,0.9,0.9,0.09999999999999998,1.0,0.6904761904761905,1.0,0.7619047619047619,1.5,0.061135535816107825,0.3613751414745909,0.43992332102647863,0.18426252821390668,1315,40.8,0.5251802494356882
fc0.800_sc0.200_xyz1.000,0.8,0.8,0.19999999999999996,1.0,0.6904761904761905,1.0,0.7619047619047619,1.5,0.061135535816107825,0.3611591436618229,0.44023768282412784,0.18508113708160742,1312,44.4,0.5251675225607493
fc0.700_sc0.300_xyz1.000,0.7,0.7,0.30000000000000004,1.0,0.6904761904761905,1.0,0.7619047619047619,1.5,0.061135535816107825,0.3592913687874814,0.43640713254105723,0.18366868751451393,1301,45.0,0.5237476912981157
fc0.600_sc0.400_xyz1.000,0.6,0.6,0.4,1.0,0.6904761904761905,1.0,0.7619047619047619,1.5,0.061135535816107825,0.3560786164057812,0.4330243976156359,0.18264441061267764,1287,43.8,0.5219466809794363
fc0.500_sc0.500_xyz1.000,0.5,0.5,0.5,1.0,0.6904761904761905,1.0,0.7619047619047619,1.5,0.061135535816107825,0.354371124245428,0.42943597668622857,0.18027447510122085,1260,45.5,0.5206313745374312
